chemin,class,classe_LOC,classe_CLOC,classe_DC,classe_WMC,classe_BC
E:\Downloads\jfree\chart\util\,ExportUtils,1065,65,0.06103286384976526,1.2,0.05086071785378103

E:\Downloads\jfree\chart\util\,HexNumberFormat,983,59,0.06002034587995931,1.1428572,0.052517800297235774

E:\Downloads\jfree\chart\util\,HMSNumberFormat,954,41,0.0429769392033543,1.0,0.0429769392033543

E:\Downloads\jfree\chart\util\,LineUtils,1006,34,0.033797216699801194,7.0,0.004828173814257313

E:\Downloads\jfree\chart\util\,LogFormat,1086,102,0.09392265193370165,1.8181819,0.051657457024023724

E:\Downloads\jfree\chart\util\,ObjectList,950,38,0.04,1.0,0.04

E:\Downloads\jfree\chart\util\,PaintAlpha,1212,190,0.15676567656765678,3.375,0.04644908935337978

E:\Downloads\jfree\chart\util\,PaintList,1015,46,0.04532019704433497,2.2857144,0.019827585320534417

E:\Downloads\jfree\chart\util\,PaintUtils,1050,40,0.0380952380952381,4.0,0.009523809523809525

E:\Downloads\jfree\chart\util\,PublicCloneable,924,7,0.007575757575757576,NaN,NaN

E:\Downloads\jfree\chart\util\,RelativeDateFormat,1403,261,0.18602993585174626,1.6428572,0.11323560960574036

E:\Downloads\jfree\chart\util\,ResourceBundleWrapper,1040,73,0.07019230769230769,1.8,0.03899572752876049

E:\Downloads\jfree\chart\util\,Rotation,961,21,0.021852237252861603,1.0,0.021852237252861603

E:\Downloads\jfree\chart\util\,SerialUtils,1479,153,0.10344827586206896,5.071429,0.020398250756466226

E:\Downloads\jfree\chart\util\,ShadowGenerator,961,6,0.006243496357960458,NaN,NaN

E:\Downloads\jfree\chart\util\,ShapeList,1074,55,0.051210428305400374,2.0,0.025605214152700187

E:\Downloads\jfree\chart\util\,ShapeUtils,1472,211,0.14334239130434784,2.6363637,0.05437124963904296

E:\Downloads\jfree\chart\util\,SortOrder,978,3,0.003067484662576687,NaN,NaN

E:\Downloads\jfree\chart\util\,StringUtils,1023,28,0.02737047898338221,1.5,0.018246985988921473

E:\Downloads\jfree\chart\util\,StrokeList,1086,53,0.04880294659300184,1.875,0.026028238182934316

E:\Downloads\jfree\chart\util\,TableOrder,983,3,0.003051881993896236,NaN,NaN

E:\Downloads\jfree\chart\util\,UnitType,982,3,0.003054989816700611,NaN,NaN

E:\Downloads\jfree\chart\util\,XYCoordinateType,985,5,0.005076142131979695,NaN,NaN

E:\Downloads\jfree\chart\urls\,CategoryURLGenerator,981,3,0.0030581039755351682,NaN,NaN

E:\Downloads\jfree\chart\urls\,CustomCategoryURLGenerator,1119,56,0.050044682752457555,2.75,0.018198066455439112

E:\Downloads\jfree\chart\urls\,CustomPieURLGenerator,1148,74,0.06445993031358885,2.5,0.02578397212543554

E:\Downloads\jfree\chart\urls\,CustomXYURLGenerator,1137,58,0.051011433597185574,2.75,0.018549612217158392

E:\Downloads\jfree\chart\urls\,PieURLGenerator,1012,13,0.012845849802371542,NaN,NaN

E:\Downloads\jfree\chart\urls\,StandardCategoryURLGenerator,1139,58,0.050921861281826165,1.7142857,0.029704418785978376

E:\Downloads\jfree\chart\urls\,StandardPieURLGenerator,1118,47,0.04203935599284436,2.1666667,0.019402778977315398

